ScenarioID,Weight(kg),Grade(deg),Weather,Throttle,TractiveEffort(N),GradeResistance(N),AdhesionFactor,Result
0,10000,0.0,Snow,8,3000000.0,0.0,0.6,PASS
1,10000,0.1,Snow,8,3000000.0,171.2167126946241,0.6,PASS
2,10000,0.2,Rain,8,3000000.0,342.4329038334481,0.6,PASS
3,10000,0.30000000000000004,Clear,8,5000000.0,513.6480518622609,1.0,PASS
4,10000,0.4,Fog,8,5000000.0,684.8616352300284,1.0,PASS
5,10000,0.5,Fog,8,5000000.0,856.073132390483,1.0,PASS
6,10000,0.6000000000000001,Fog,8,5000000.0,1027.2820218037123,1.0,PASS
7,10000,0.7000000000000001,Snow,8,3000000.0,1198.4877819377475,0.6,PASS
8,10000,0.8,Fog,8,5000000.0,1369.6898912701513,1.0,PASS
9,10000,0.9,Rain,8,3000000.0,1540.8878282896083,0.6,PASS
10,10000,1.0,Clear,8,5000000.0,1712.0810714975125,1.0,PASS
11,10000,1.1,Fog,8,5000000.0,1883.2690994095565,1.0,PASS
12,10000,1.2000000000000002,Snow,8,3000000.0,2054.451390557318,0.6,PASS
13,10000,1.3,Rain,8,3000000.0,2225.627423489851,0.6,PASS
14,10000,1.4000000000000001,Fog,8,5000000.0,2396.7966767752746,1.0,PASS
15,10000,1.5,Rain,8,3000000.0,2567.9586290023562,0.6,PASS
16,10000,1.6,Snow,8,3000000.0,2739.112758782107,0.6,PASS
17,10000,1.7000000000000002,Fog,8,5000000.0,2910.2585447493657,1.0,PASS
18,10000,1.8,Rain,8,3000000.0,3081.3954655643856,0.6,PASS
19,10000,1.9000000000000001,Snow,8,3000000.0,3252.522999914428,0.6,PASS
20,10000,2.0,Fog,8,5000000.0,3423.640626515345,1.0,PASS
21,10000,2.1,Snow,8,3000000.0,3594.7478241131707,0.6,PASS
22,10000,2.2,Snow,8,3000000.0,3765.8440714857065,0.6,PASS
23,10000,2.3000000000000003,Fog,8,5000000.0,3936.9288474441105,1.0,PASS
24,10000,2.4000000000000004,Rain,8,3000000.0,4108.001630834484,0.6,PASS
25,10000,2.5,Fog,8,5000000.0,4279.061900539462,1.0,PASS
26,10000,2.6,Fog,8,5000000.0,4450.109135479796,1.0,PASS
